Date,House Price Index,Household Income,GDP,Population
1997,194.29862745098043,36603.529411764706,166882439215.64706,5250658.960784313
1998,203.30843137254902,38551.96078431373,176410174509.80392,5298980.450980392
1999,211.49960784313728,40251.76470588235,187565484313.70587,5346878.68627451
2000,222.7586274509804,41763.72549019608,199706588235.2745,5532596.294117647
2001,239.15549019607843,42300.19607843137,206189170588.2353,5587626.549019608
2002,254.43901960784314,42366.27450980392,212970745098.0392,5639709.62745098
2003,271.57921568627455,43429.01960784314,223209509803.92157,5688390.823529412
2004,293.56901960784313,44498.62745098039,238063429411.7647,5741280.333333333
2005,328.85,46210.98039215686,254115641176.47058,5794443.117647059
2006,365.78862745098036,48353.92156862745,269272841176.451,5850586.509803922
2007,380.11431372549015,50400.39215686275,282121625490.1961,5906494.2549019605
2008,375.26627450980396,50777.05882352941,287813217647.05884,5962626.784313725
2009,356.8858823529411,49857.64705882353,281959174509.7843,6015128.019607843
2010,333.16627450980394,50018.23529411765,293040313725.4706,6065238.098039215
2011,323.8039215686274,50687.25490196078,303696801960.7647,6109480.0
2012,320.0566666666667,52008.03921568627,316484982352.94116,6154463.960784313
2013,325.78098039215683,54316.07843137255,328771486274.4902,6197253.862745098
2014,336.94431372549025,55224.117647058825,343020170588.2353,6242869.176470588
2015,353.38,57012.35294117647,356525535294.098,6288999.862745098
2016,368.62705882352947,59179.60784313725,366677882352.94116,6334740.274509804
2017,385.8858823529413,61518.03921568627,382502317647.0196,6374943.68627451
2018,407.93294117647054,64411.17647058824,402663374509.8039,6408592.117647059
2019,425.94725490196083,69720.58823529411,419516723529.41174,6437842.215686275
2020,447.5660784313726,68660.39215686274,415556498039.2157,6500528.098039215
2021,481.8276470588235,71538.43137254902,460031074509.8039,6510764.2549019605
2022,572.8805882352941,75458.03921568628,501914135294.098,6534733.549019608
